Date,Celebrity Name,Distance (Miles),Departure Port,Arrival Port,Gallons (Fuel),Pounds (Fuel),Cost of Fuel,CO2 emissions (aprx.Tons)
2022-08-10,Harrison Ford,743,HHR,IDA,460,3083,3059,5
2022-08-10,A-Rod,1282,OPF,DBQ,1264,8472,8406,13
2022-08-10,Kylie Jenner,1124,FOK,GHC,998,6690,6668,11
2022-08-09,Floyd Mayweather,223,BUR,LAS,302,2021,2015,3
2022-08-09,Floyd Mayweather,223,LAS,BUR,336,2255,2247,4
2022-08-09,Travis Scott,1817,EWR,LAX,2390,16018,15989,25
2022-08-09,Blake Shelton,1227,ADM,VNY,1317,8828,8812,14
2022-08-08,Kylie Jenner,159,MYX4,OPF,242,1623,1620,3
2022-08-08,Blake Shelton,48,11TX,ADM,101,674,673,1
2022-08-07,Kenny Chesney,694,STP,BNA,552,3702,3696,6
2022-08-07,Floyd Mayweather,1145,MKC,LAS,1136,7616,7602,12
2022-08-07,Tom Cruise,1430,BGR,FXE,883,5919,5908,9
2022-08-06,Tom Cruise,2692,KIR,BGR,1701,11397,11377,18
2022-08-06,Blake Shelton,1251,VNY,ADM,1241,8315,8313,13
2022-08-05,Dan Bilzerian,1105,FLL,AUS,1097,7354,7341,12
2022-08-04,Steven Spielberg,2456,TEB,VNY,2365,15850,15821,25
2022-08-03,Kylie Jenner,625,LIN,LTN,707,4738,4750,7
2022-08-03,Tom Cruise,44,SNN,KIR,64,428,429,0.67
2022-08-02,Kylie Jenner,6053,VNY,LIN,4737,31751,31978,50
2022-08-02,Floyd Mayweather,2249,HPN,LAS,2271,15221,15330,24
2022-08-02,A-Rod,1090,TEB,OPF,1122,7523,7554,12
2022-08-01,A-Rod,75,FOK,TEB,228,1526,1532,2
2022-08-01,Kylie Jenner,35,KCMA,VNY,106,711,714,1
2022-07-31,Tom Cruise,1018,CHS,BGR,597,4003,4019,6
2022-07-31,Dan Bilzerian,1090,LAS,AUS,1142,7656,7688,12
2022-07-31,Tom Cruise,462,FXE,CHS,328,2201,2210,3
2022-07-31,Steven Spielberg,75,FOK,TEB,241,1618,1625,3
2022-07-31,Kenny Chesney,2790,APA,CPX,1872,12545,12598,20
2022-07-31,A-Rod,2211,COE,FOK,2067,13851,13909,22
2022-07-31,Floyd Mayweather,120,ACY,HPN,319,2140,2149,3
2022-07-30,Taylor Swift,825,ALB,BNA,752,5040,5061,8
2022-07-29,Floyd Mayweather,120,HPN,ACY,241,1617,1627,3
2022-07-29,Puma/Jay-Z,12,EWR,TEB,139,932,937,1
2022-07-29,Taylor Swift,2457,BUR,ALB,1630,10922,10984,17
2022-07-29,Floyd Mayweather,2249,LAS,HPN,1955,13104,13178,21
2022-07-29,Kenny Chesney,385,UTH,APA,301,2019,2027,3
2022-07-29,Puma/Jay-Z,2378,MDE,EWR,2115,14178,14237,22
2022-07-28,Puma/Jay-Z,2389,TEB,MDE,2089,14000,14058,22
2022-07-28,Taylor Swift,2207,BUF,BUR,1844,12362,12413,19
2022-07-28,Taylor Swift,633,BNA,BUF,532,3566,3581,6
2022-07-28,Floyd Mayweather,367,SLC,LAS,422,2827,2838,4
2022-07-28,Steven Spielberg,210,NHT,RTM,317,2126,2134,3
2022-07-28,Floyd Mayweather,367,LAS,SLC,458,3068,3080,5
2022-07-28,Floyd Mayweather,226,VNY,HSH,333,2235,2247,4
2022-07-27,Floyd Mayweather,229,LAS,VNY,346,2317,2330,4
2022-07-27,Floyd Mayweather,229,VNY,LAS,353,2365,2392,4
2022-07-27,Floyd Mayweather,229,LAS,VNY,300,2009,2032,3
2022-07-26,Kenny Chesney,559,MRY,BOI,439,2941,2975,5
2022-07-25,Kenny Chesney,225,KCMA,MRY,210,1406,1425,2
2022-07-25,Blake Shelton,1251,VNY,TE68,1280,8581,8693,14
2022-07-25,A-Rod,2011,RME,COE,2010,13468,13645,21
2022-07-25,Steven Spielberg,84,SNN,NOC,235,1573,1594,2
2022-07-24,Blake Shelton,222,MSP,TNU,347,2326,2356,4
2022-07-23,Blake Shelton,1528,VNY,MSP,1427,9565,9691,15
2022-07-23,A-Rod,2382,VNY,RME,2107,14119,14304,22
2022-07-23,Taylor Swift,1790,BUR,BNA,1325,8879,8996,14
2022-07-22,Tom Cruise,711,K0A9,FXE,478,3200,3242,5
2022-07-22,Drake,38,YYZ,YHM,402,2694,2729,4
2022-07-22,Drake,4131,NCE,YYZ,14667,98300,99590,155
2022-07-22,Blake Shelton,190,FAT,VNY,285,1911,1939,3
2022-07-22,Floyd Mayweather,229,VNY,LAS,326,2188,2220,3
2022-07-21,Blake Shelton,190,VNY,FAT,269,1806,18332,3
2022-07-21,Steven Spielberg,84,NOC,SNN,153,1027,1042,2
2022-07-21,Taylor Swift,1790,BNA,BUR,1299,8708,8836,14
2022-07-21,Steven Spielberg,3015,FOK,NOC,2548,17074,17324,27
2022-07-21,Kenny Chesney,468,RDD,KCMA,385,2582,2619,4
2022-07-21,Kenny Chesney,265,RDM,RDD,262,1757,1783,3
2022-07-21,Tiger Wood,125,BCN,PMI,298,1999,2028,3
2022-07-20,Oprah Winfrey,101,OGG,HNL,189,1266,1288,2
2022-07-20,Kenny Chesney,557,PVU,RDM,476,3187,3243,5
2022-07-20,Oprah Winfrey,2412,SBA,OGG,2351,15753,16031,25
2022-07-19,Kenny Chesney,557,RDM,PVU,459,3077,3132,5
2022-07-19,Steven Spielberg,75,TEB,FOK,204,1367,1391,2
2022-07-19,Kenny Chesney,701,KCMA,RDM,556,3725,3790,6
2022-07-19,Blake Shelton,1250,11TX,VNY,1277,8562,8712,13
2022-07-19,Steven Spielberg,184,MVY,TEB,404,2707,2754,4
2022-07-19,Floyd Mayweather,229,LAS,VNY,315,2108,2145,3
2022-07-18,Drake,309,NCE,BCN,1520,10190,10384,16
2022-07-18,Drake,171,BCN,IBZ,1031,6910,7042,11
2022-07-18,Blake Shelton,127,OKC,TE68,197,1321,1346,2
2022-07-18,Blake Shelton,1097,YQR,OKC,1079,7229,7367,11
2022-07-18,Puma/Jay-Z,2484,EUG,TEB,2167,14526,14804,23
2022-07-17,Steven Spielberg,184,TEB,MA44,312,2090,2130,3
2022-07-17,Puma/Jay-Z,234,SEA,EUG,353,2365,2411,4
2022-07-17,Steven Spielberg,75,FOK,TEB,217,1456,1484,2
2022-07-17,Kenny Chesney,934,BFI,KCMA,741,4964,5059,8
2022-07-17,Puma/Jay-Z,227,DUS,NUE,299,2004,2046,3
2022-07-17,Blake Shelton,412,YYC,YQR,447,2994,3056,5
2022-07-15,Oprah Winfrey,1869,BNA,SBA,1726,11567,11822,18
2022-07-14,Blake Shelton,1251,VNY,11TX,1253,8396,8631,13
2022-07-13,Oprah Winfrey,462,BNA,NEW,495,3320,3413,5
2022-07-13,Drake,3934,YYZ,ARN,12144,81392,83675,128
2022-07-13,Drake,38,YHM,YYZ,519,3477,3590,5
2022-07-12,Dan Bilzerian,2480,BGR,LAS,2689,18021,18607,28
2022-07-12,Kim Kardashian,2487,KCMA,TEB,2182,14623,15098,23
2022-07-12,Dan Bilzerian,3630,NCE,BGR,3766,25243,26102,40
2022-07-12,A-Rod,2232,TEB,LAS,2297,15394,15918,24
2022-07-11,Steven Spielberg,2531,FOK,VNY,2438,16339,16895,26
2022-07-11,Puma/Jay-Z,1733,MDW,BFI,1656,11100,11477,17
2022-07-11,Blake Shelton,1252,TE68,VNY,1271,8519,8809,13
2022-07-10,Taylor Swift,867,GON,BNA,722,4836,5001,8
2022-07-10,A-Rod,21,JFK,TEB,224,1499,1550,2
2022-07-10,Taylor Swift,1104,PIE,GON,843,5651,5843,9
2022-07-10,Kenny Chesney,163,BZN,IDA,189,1264,1307,2
2022-07-10,Taylor Swift,612,BNA,PIE,491,3293,3405,5
2022-07-09,A-Rod,1082,OPF,JFK,1133,7597,7855,12
