S/N,Country,CO2 per captia,Co2 emissions,Pop 2016
144,Martinique,7.21,"2,715,477","376,791"
145,Mauritania,0.62,"2,564,345","4,163,533"
146,Guadeloupe,6.2,"2,478,038","399,763"
147,Burkina Faso,0.13,"2,352,070","18,646,357"
148,New Caledonia,8.53,"2,338,717","274,191"
149,Togo,0.31,"2,321,546","7,509,951"
150,Malta,5.18,"2,257,870","436,097"
151,Equatorial Guinea,1.77,"2,156,371","1,215,180"
152,Suriname,3.81,"2,152,933","564,888"
153,Niger,0.1,"2,088,475","20,788,798"
154,Guinea,0.18,"2,071,798","11,738,429"
155,Malawi,0.11,"1,815,598","17,205,261"
156,Fiji,1.95,"1,703,193","872,399"
157,Bhutan,2.28,"1,682,100","736,708"
158,Chad,0.11,"1,670,941","14,561,660"
159,Mali,0.09,"1,606,421","17,965,443"
160,Barbados,5.39,"1,541,447","285,796"
161,Djibouti,1.62,"1,508,851","929,112"
162,French Guiana,5.5,"1,473,719","267,821"
163,Rwanda,0.12,"1,403,087","11,668,827"
164,Sierra Leone,0.17,"1,272,332","7,328,834"
165,Somalia,0.09,"1,268,442","14,185,636"
166,Maldives,2.59,"1,233,015","475,512"
167,Réunion,1.3,"1,132,331","869,743"
168,Belize,3.02,"1,114,105","368,400"
169,Burundi,0.1,"1,093,618","10,487,995"
170,French Polynesia,3.65,"1,003,249","274,575"
171,Liberia,0.18,"846,658","4,586,787"
172,Puerto Rico,0.22,"712,758","3,283,125"
173,Eritrea,0.2,"684,140","3,376,557"
174,Eswatini,0.59,"657,572","1,113,997"
175,Bermuda,10.09,"639,352","63,362"
176,Saint Lucia,3.38,"608,182","180,024"
177,Gibraltar,16.98,"572,708","33,737"
178,Grenada,5.03,"554,848","110,261"
179,Central African Republic,0.12,"543,229","4,537,686"
180,Seychelles,5.43,"519,693","95,710"
181,Timor-Leste,0.41,"495,687","1,219,288"
182,Antigua and Barbuda,4.64,"438,763","94,527"
183,Cayman Islands,6.49,"406,057","62,569"
184,St. Vincent & Grenadines,3.31,"362,414","109,459"
185,Solomon Islands,0.55,"341,748","619,438"
186,Guinea-Bissau,0.18,"318,706","1,782,438"
187,Lesotho,0.15,"318,438","2,075,030"
188,Aruba,2.74,"286,871","104,872"
189,Gambia,0.12,"254,127","2,149,136"
190,Tonga,2.49,"251,375","101,133"
191,Western Sahara,0.39,"207,592","538,749"
192,Saint Kitts & Nevis,3.93,"203,036","51,625"
193,Dominica,2.61,"185,767","71,307"
194,Samoa,0.87,"169,939","194,535"
195,Vanuatu,0.49,"137,706","278,330"
196,Comoros,0.14,"108,422","795,592"
197,British Virgin Islands,3.4,"99,762","29,355"
198,Cabo Verde,0.19,"99,687","531,146"
199,Turks and Caicos,1.79,"65,451","36,559"
200,Sao Tome & Principe,0.28,"56,185","203,227"
201,Kiribati,0.47,"52,818","112,524"
202,Falkland Islands,16.59,"48,568","2,928"
203,Palau,2.35,"41,732","17,725"
204,Cook Islands,2.13,"37,354","17,524"
205,Anguilla,2.1,"30,262","14,429"
206,Saint Helena,2.2,"13,128","5,956"
207,Saint Pierre & Miquelon,1.49,"8,842","5,934"
208,Faeroe Islands,0.04,"1,953","48,173"
209,Greenland,0.03,"1,530","56,412"
